event,stadium,city,event_date,olympic,name,country,born,gender,place,age
"10,000 metres","Beijing National Stadium, Beijing","Beijing, China",2008-08-17,2008 Beijing Summer Games,Kenenisa Bekele,ETH,1982-06-13,Male,1,26.197260273972603
"10,000 metres","Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-04,2012 London Summer Games,Galen Rupp,USA,1986-05-08,Male,2,26.26027397260274
"10,000 metres","National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-14,1964 Tokyo Summer Games,Billy Mills,USA,1938-06-30,Male,1,26.30958904109589
"10,000 metres","Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-23,1956 Melbourne Summer Games,Allan Lawrence,AUS,1930-07-09,Male,3,26.394520547945206
"10,000 metres","Colombes Olympic Stadium, Colombes","Paris, France",1924-07-06,1924 Paris Summer Games,Eero Berg,FIN,1898-02-17,Male,3,26.397260273972602
"10,000 metres","Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-27,1980 Moskva Summer Games,Kaarlo Maaninka,FIN,1953-12-25,Male,2,26.605479452054794
"10,000 metres","Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-26,1988 Seoul Summer Games,Salvatore Antibo,ITA,1962-02-07,Male,2,26.65205479452055
"10,000 metres","Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-02,1936 Berlin Summer Games,Arvo Askola,FIN,1909-12-02,Male,2,26.684931506849313
"10,000 metres","National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-14,1964 Tokyo Summer Games,Mohamad Gammoudi,TUN,1938-02-11,Male,2,26.69041095890411
"10,000 metres","Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-27,1980 Moskva Summer Games,Mohamed Kedir,ETH,1953-09-18,Male,3,26.873972602739727
"10,000 metres","Empire Stadium, Wembley, London","London, Great Britain",1948-07-30,1948 London Summer Games,Bertil Albertsson,SWE,1921-09-01,Male,3,26.92876712328767
"10,000 metres","Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-26,1976 Montréal Summer Games,Lasse Virén,FIN,1949-07-22,Male,1,27.03013698630137
"10,000 metres","Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-29,1996 Atlanta Summer Games,Paul Tergat,KEN,1969-06-17,Male,2,27.134246575342466
"10,000 metres","Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-25,2000 Sydney Summer Games,Haile Gebrselassie,ETH,1973-04-18,Male,1,27.457534246575342
"10,000 metres","Empire Stadium, Wembley, London","London, Great Britain",1948-07-30,1948 London Summer Games,Alain Mimoun,FRA,1921-01-01,Male,2,27.594520547945205
"10,000 metres","National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-14,1964 Tokyo Summer Games,Ron Clarke,AUS,1937-02-21,Male,3,27.663013698630138
"10,000 metres","Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-07-31,1932 Los Angeles Summer Games,Lasse Virtanen,FIN,1904-08-03,Male,3,28.01095890410959
"10,000 metres","Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-06,1984 Los Angeles Summer Games,Mike Musyoki,KEN,1956-05-28,Male,3,28.21095890410959
"10,000 metres","Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-03,1972 München Summer Games,Miruts Yifter,ETH,1944-05-15,Male,3,28.323287671232876
"10,000 metres","Colombes Olympic Stadium, Colombes","Paris, France",1924-07-06,1924 Paris Summer Games,Edvin Wide,SWE,1896-02-22,Male,2,28.386301369863013
"10,000 metres","Colombes Olympic Stadium, Colombes","Paris, France",1924-07-06,1924 Paris Summer Games,Ville Ritola,FIN,1896-01-18,Male,1,28.482191780821918
"10,000 metres","Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-26,1976 Montréal Summer Games,Brendan Foster,GBR,1948-01-12,Male,3,28.556164383561644
"10,000 metres","Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-20,1920 Antwerpen Summer Games,James Wilson,GBR,1891-10-02,Male,3,28.9013698630137
"10,000 metres","Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-02,1936 Berlin Summer Games,Volmari Iso-Hollo,FIN,1907-05-01,Male,3,29.276712328767122
"10,000 metres","Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-04,2012 London Summer Games,Mo Farah,GBR,1983-03-23,Male,1,29.389041095890413
"10,000 metres","Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-26,1976 Montréal Summer Games,Carlos Lopes,POR,1947-02-18,Male,2,29.454794520547946
"10,000 metres","Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-23,1956 Melbourne Summer Games,Volodymyr Kuts,URS,1927-02-07,Male,1,29.813698630136987
"10,000 metres","Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-20,1952 Helsinki Summer Games,Emil Zátopek,TCH,1922-09-19,Male,1,29.854794520547944
"10,000 metres","Olympic Stadium, Roma","Roma, Italy",1960-09-08,1960 Roma Summer Games,Pyotr Bolotnikov,URS,1930-03-08,Male,1,30.526027397260275
"10,000 metres","University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-13,1968 Ciudad de México Summer Games,Mohamad Gammoudi,TUN,1938-02-11,Male,3,30.69041095890411
"10,000 metres","Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-23,1956 Melbourne Summer Games,József Kovács,HUN,1926-03-03,Male,2,30.747945205479454
"10,000 metres","Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-29,1928 Amsterdam Summer Games,Paavo Nurmi,FIN,1897-06-13,Male,1,31.145205479452056
"10,000 metres","Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-25,2000 Sydney Summer Games,Paul Tergat,KEN,1969-06-17,Male,2,31.295890410958904
"10,000 metres","Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-20,1952 Helsinki Summer Games,Alain Mimoun,FRA,1921-01-01,Male,2,31.56986301369863
"10,000 metres","Olympic Stadium, Roma","Roma, Italy",1960-09-08,1960 Roma Summer Games,Dave Power,AUS,1928-07-14,Male,3,32.175342465753424
"10,000 metres","Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-29,1928 Amsterdam Summer Games,Edvin Wide,SWE,1896-02-22,Male,3,32.45205479452055
"10,000 metres","Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-29,1928 Amsterdam Summer Games,Ville Ritola,FIN,1896-01-18,Male,2,32.54794520547945
"10,000 metres","Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-06,1984 Los Angeles Summer Games,Mike McLeod,GBR,1952-01-25,Male,2,32.553424657534244
"10,000 metres","Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-02,1936 Berlin Summer Games,Ilmari Salminen,FIN,1902-09-21,Male,1,33.88767123287671
"10,000 metres","Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-27,1980 Moskva Summer Games,Miruts Yifter,ETH,1944-05-15,Male,1,36.224657534246575
"10,000 metres","University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-13,1968 Ciudad de México Summer Games,Mamo Wolde,ETH,1932-06-12,Male,2,36.36164383561644
100/110 metres Hurdles,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-14,1900 Paris Summer Games,Fred Moloney,USA,1882-08-04,Male,3,17.953424657534246
100/110 metres Hurdles,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-12,1912 Stockholm Summer Games,Fred Kelly,USA,1891-09-12,Male,1,20.843835616438355
100/110 metres Hurdles,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-08-01,1928 Amsterdam Summer Games,John Collier,USA,1907-09-26,Male,3,20.863013698630137
100/110 metres Hurdles,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-09-03,1904 St. Louis Summer Games,Lesley Ashburner,USA,1883-10-21,Male,3,20.882191780821916
100/110 metres Hurdles,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-09-03,1904 St. Louis Summer Games,Thad Shideler,USA,1883-10-17,Male,2,20.893150684931506
100/110 metres Hurdles,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-27,2004 Athina Summer Games,Liu Xiang,CHN,1983-07-13,Male,1,21.13972602739726
100/110 metres Hurdles,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-17,1968 Ciudad de México Summer Games,Erv Hall,USA,1947-07-02,Male,2,21.30958904109589
100/110 metres Hurdles,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-06,1936 Berlin Summer Games,Fritz Pollard,USA,1915-02-18,Male,3,21.47945205479452
100/110 metres Hurdles,"Panathenaic Stadium, Athina","Athina, Greece",1906-05-01,1906 Athina Summer Games,Vincent Duncker,GER,1884-11-09,Male,3,21.484931506849314
100/110 metres Hurdles,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-26,1988 Seoul Summer Games,Colin Jackson,GBR,1967-02-18,Male,2,21.61917808219178
100/110 metres Hurdles,"Beijing National Stadium, Beijing","Beijing, China",2008-08-21,2008 Beijing Summer Games,Dayron Robles,CUB,1986-11-19,Male,1,21.76986301369863
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-07,1972 München Summer Games,Guy Drut,FRA,1950-12-06,Male,2,21.76986301369863
100/110 metres Hurdles,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-09,1924 Paris Summer Games,Sten Pettersson,SWE,1902-09-11,Male,3,21.84109589041096
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-25,2000 Sydney Summer Games,Terrence Trammell,USA,1978-11-23,Male,2,21.854794520547944
100/110 metres Hurdles,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-12,1912 Stockholm Summer Games,James Wendell,USA,1890-09-03,Male,2,21.86849315068493
100/110 metres Hurdles,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-24,1952 Helsinki Summer Games,Jack Davis,USA,1930-09-11,Male,2,21.882191780821916
100/110 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-06,1984 Los Angeles Summer Games,Roger Kingdom,USA,1962-08-26,Male,1,21.96164383561644
100/110 metres Hurdles,"Panathenaic Stadium, Athina","Athina, Greece",1896-04-10,1896 Athina Summer Games,Grantley Goulding,GBR,1874-03-23,Male,2,22.065753424657533
100/110 metres Hurdles,"Olympic Stadium, Roma","Roma, Italy",1960-09-05,1960 Roma Summer Games,Hayes Jones,USA,1938-08-04,Male,3,22.104109589041094
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-08,2012 London Summer Games,Hansle Parchment,JAM,1990-06-17,Male,3,22.15890410958904
100/110 metres Hurdles,"White City Stadium, London","London, Great Britain",1908-07-25,1908 London Summer Games,Art Shaw,USA,1886-04-28,Male,3,22.254794520547946
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-07,1972 München Summer Games,Rod Milburn,USA,1950-05-18,Male,1,22.323287671232876
100/110 metres Hurdles,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-08-01,1928 Amsterdam Summer Games,Steve Anderson,USA,1906-04-10,Male,2,22.326027397260273
100/110 metres Hurdles,"Empire Stadium, Wembley, London","London, Great Britain",1948-08-04,1948 London Summer Games,Bill Porter,USA,1926-03-24,Male,1,22.38082191780822
100/110 metres Hurdles,"Empire Stadium, Wembley, London","London, Great Britain",1948-08-04,1948 London Summer Games,Craig Dixon,USA,1926-03-03,Male,3,22.438356164383563
100/110 metres Hurdles,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-09,1924 Paris Summer Games,Dan Kinsey,USA,1902-01-22,Male,1,22.476712328767125
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-28,1976 Montréal Summer Games,Alejandro Casañas,CUB,1954-01-29,Male,2,22.50958904109589
100/110 metres Hurdles,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-06,1936 Berlin Summer Games,Forrest Towns,USA,1914-02-06,Male,1,22.512328767123286
100/110 metres Hurdles,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-14,1900 Paris Summer Games,John McLean,USA,1878-01-10,Male,2,22.52054794520548
100/110 metres Hurdles,"Panathenaic Stadium, Athina","Athina, Greece",1906-05-01,1906 Athina Summer Games,Bob Leavitt,USA,1883-09-20,Male,1,22.624657534246577
100/110 metres Hurdles,"White City Stadium, London","London, Great Britain",1908-07-25,1908 London Summer Games,Johnny Garrels,USA,1885-11-18,Male,2,22.695890410958903
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-07,1972 München Summer Games,Tom Hill,USA,1949-11-17,Male,3,22.82191780821918
100/110 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-03,1932 Los Angeles Summer Games,George Saling,USA,1909-07-24,Male,1,23.043835616438358
100/110 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-03,1932 Los Angeles Summer Games,Don Finlay,GBR,1909-05-27,Male,3,23.202739726027396
100/110 metres Hurdles,"Panathenaic Stadium, Athina","Athina, Greece",1896-04-10,1896 Athina Summer Games,Tom Curtis,USA,1873-01-09,Male,1,23.265753424657536
100/110 metres Hurdles,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-09,1924 Paris Summer Games,Sid Atkinson,RSA,1901-03-14,Male,2,23.336986301369862
100/110 metres Hurdles,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-27,1980 Moskva Summer Games,Aleksandr Puchkov,URS,1957-03-25,Male,3,23.356164383561644
100/110 metres Hurdles,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-24,1952 Helsinki Summer Games,Art Barnard,USA,1929-03-10,Male,3,23.389041095890413
100/110 metres Hurdles,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-14,1900 Paris Summer Games,Al Kraenzlein,USA,1876-12-12,Male,1,23.6
100/110 metres Hurdles,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-28,1956 Melbourne Summer Games,Joel Shankle,USA,1933-03-02,Male,3,23.75890410958904
100/110 metres Hurdles,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-28,1956 Melbourne Summer Games,Lee Calhoun,USA,1933-02-23,Male,1,23.778082191780822
100/110 metres Hurdles,"Olympic Stadium, Roma","Roma, Italy",1960-09-05,1960 Roma Summer Games,Willie May,USA,1936-11-11,Male,2,23.832876712328765
100/110 metres Hurdles,"White City Stadium, London","London, Great Britain",1908-07-25,1908 London Summer Games,Forrest Smithson,USA,1884-09-26,Male,1,23.84109589041096
100/110 metres Hurdles,"Empire Stadium, Wembley, London","London, Great Britain",1948-08-04,1948 London Summer Games,Clyde Scott,USA,1924-08-29,Male,2,23.947945205479453
100/110 metres Hurdles,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-17,1968 Ciudad de México Summer Games,Eddy Ottoz,ITA,1944-06-03,Male,3,24.389041095890413
100/110 metres Hurdles,"Stockholm Olympic Stadium, Stockholm","Stockholm, Sweden",1912-07-12,1912 Stockholm Summer Games,Martin Hawkins,USA,1888-02-20,Male,3,24.405479452054795
100/110 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-03,1932 Los Angeles Summer Games,Percy Beard,USA,1908-01-26,Male,2,24.53698630136986
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-25,2000 Sydney Summer Games,Anier García,CUB,1976-03-09,Male,1,24.564383561643837
100/110 metres Hurdles,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-09-03,1904 St. Louis Summer Games,Fred Schule,USA,1879-09-27,Male,1,24.95068493150685
100/110 metres Hurdles,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-18,1964 Tokyo Summer Games,Blaine Lindgren,USA,1939-06-26,Male,2,25.33150684931507
100/110 metres Hurdles,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-17,1968 Ciudad de México Summer Games,Willie Davenport,USA,1943-06-08,Male,1,25.378082191780823
100/110 metres Hurdles,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-29,1996 Atlanta Summer Games,Allen Johnson,USA,1971-03-01,Male,1,25.43013698630137
100/110 metres Hurdles,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-18,1920 Antwerpen Summer Games,Tommy Thomson,CAN,1895-02-15,Male,1,25.52054794520548
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-28,1976 Montréal Summer Games,Guy Drut,FRA,1950-12-06,Male,1,25.660273972602738
100/110 metres Hurdles,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-27,2004 Athina Summer Games,Terrence Trammell,USA,1978-11-23,Male,2,25.778082191780822
100/110 metres Hurdles,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-18,1920 Antwerpen Summer Games,Hal Barron,USA,1894-08-29,Male,2,25.986301369863014
100/110 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-06,1984 Los Angeles Summer Games,Greg Foster,USA,1958-08-04,Male,2,26.024657534246575
100/110 metres Hurdles,"Beijing National Stadium, Beijing","Beijing, China",2008-08-21,2008 Beijing Summer Games,David Payne,USA,1982-07-24,Male,2,26.095890410958905
100/110 metres Hurdles,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-26,1988 Seoul Summer Games,Roger Kingdom,USA,1962-08-26,Male,1,26.104109589041094
100/110 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-06,1984 Los Angeles Summer Games,Arto Bryggare,FIN,1958-05-26,Male,3,26.216438356164385
100/110 metres Hurdles,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-18,1964 Tokyo Summer Games,Hayes Jones,USA,1938-08-04,Male,1,26.224657534246575
100/110 metres Hurdles,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-28,1956 Melbourne Summer Games,Jack Davis,USA,1930-09-11,Male,2,26.232876712328768
100/110 metres Hurdles,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-18,1920 Antwerpen Summer Games,Fred Murray,USA,1894-05-15,Male,3,26.276712328767122
100/110 metres Hurdles,"Beijing National Stadium, Beijing","Beijing, China",2008-08-21,2008 Beijing Summer Games,David Oliver,USA,1982-04-24,Male,3,26.345205479452055
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-08,2012 London Summer Games,Jason Richardson,USA,1986-04-04,Male,2,26.364383561643837
100/110 metres Hurdles,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-27,1980 Moskva Summer Games,Alejandro Casañas,CUB,1954-01-29,Male,2,26.50958904109589
100/110 metres Hurdles,"Panathenaic Stadium, Athina","Athina, Greece",1906-05-01,1906 Athina Summer Games,Alfred Healey,GBR,1879-07-13,Male,2,26.816438356164383
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Stratford, London","London, Great Britain",2012-08-08,2012 London Summer Games,Aries Merritt,USA,1985-07-24,Male,1,27.06027397260274
100/110 metres Hurdles,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-06,1936 Berlin Summer Games,Don Finlay,GBR,1909-05-27,Male,2,27.213698630136985
100/110 metres Hurdles,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-08-01,1928 Amsterdam Summer Games,Sid Atkinson,RSA,1901-03-14,Male,1,27.4027397260274
100/110 metres Hurdles,"Olympic Stadium, Roma","Roma, Italy",1960-09-05,1960 Roma Summer Games,Lee Calhoun,USA,1933-02-23,Male,1,27.55068493150685
100/110 metres Hurdles,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-29,1996 Atlanta Summer Games,Mark Crear,USA,1968-10-02,Male,2,27.84109589041096
100/110 metres Hurdles,"National Stadium, Shinjuku, Tokyo","Tokyo, Japan",1964-10-18,1964 Tokyo Summer Games,Anatoly Mikhaylov,URS,1936-11-14,Male,3,27.945205479452056
100/110 metres Hurdles,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-27,1980 Moskva Summer Games,Thomas Munkelt,GDR,1952-08-03,Male,1,28.0
100/110 metres Hurdles,"Centennial Olympic Stadium, Atlanta, Georgia","Atlanta, United States",1996-07-29,1996 Atlanta Summer Games,Florian Schwarthoff,FRG,1968-05-07,Male,3,28.246575342465754
100/110 metres Hurdles,"Olympic Stadium, Seoul Sports Complex, Seoul","Seoul, South Korea",1988-09-26,1988 Seoul Summer Games,Tonie Campbell,USA,1960-06-14,Male,3,28.304109589041097
100/110 metres Hurdles,"Olympic Stadium, Athens Olympic Sports Complex Spiros Loues, Maroussi","Athina, Greece",2004-08-27,2004 Athina Summer Games,Anier García,CUB,1976-03-09,Male,3,28.487671232876714
100/110 metres Hurdles,"Montjuïc Olympic Stadium, Barcelona","Barcelona, Spain",1992-08-03,1992 Barcelona Summer Games,Tony Dees,USA,1963-08-06,Male,2,29.013698630136986
100/110 metres Hurdles,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-24,1952 Helsinki Summer Games,Harrison Dillard,USA,1923-07-08,Male,1,29.065753424657533
100/110 metres Hurdles,"Montjuïc Olympic Stadium, Barcelona","Barcelona, Spain",1992-08-03,1992 Barcelona Summer Games,Jack Pierce,USA,1962-09-23,Male,3,29.882191780821916
100/110 metres Hurdles,"Montjuïc Olympic Stadium, Barcelona","Barcelona, Spain",1992-08-03,1992 Barcelona Summer Games,Mark McKoy,CAN,1961-12-10,Male,1,30.66849315068493
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-25,2000 Sydney Summer Games,Mark Crear,USA,1968-10-02,Male,3,32.0027397260274
100/110 metres Hurdles,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-28,1976 Montréal Summer Games,Willie Davenport,USA,1943-06-08,Male,3,33.16164383561644
400 metres Hurdles,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-24,1956 Melbourne Summer Games,Eddie Southern,USA,1938-01-04,Male,2,18.9013698630137
400 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1984-08-05,1984 Los Angeles Summer Games,Danny Harris,USA,1965-09-07,Male,2,18.923287671232877
400 metres Hurdles,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-08-31,1904 St. Louis Summer Games,Frank Waller,USA,1884-06-24,Male,2,20.197260273972603
400 metres Hurdles,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-25,1976 Montréal Summer Games,Edwin Moses,USA,1955-08-31,Male,1,20.915068493150685
400 metres Hurdles,"Olympic Stadium, Imperial Sports Field, Berlin","Berlin, Germany",1936-08-04,1936 Berlin Summer Games,Johnny Loaring,CAN,1915-08-03,Male,2,21.019178082191782
400 metres Hurdles,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-07,1924 Paris Summer Games,Morgan Taylor,USA,1903-04-17,Male,1,21.23835616438356
400 metres Hurdles,"Catalan Cross, Boulogne Forest, Paris","Paris, France",1900-07-15,1900 Paris Summer Games,Henri Tauzin,FRA,1879-04-17,Male,2,21.257534246575343
400 metres Hurdles,"Olympic Stadium, Antwerpen","Antwerpen, Belgium",1920-08-16,1920 Antwerpen Summer Games,Gus Desch,USA,1898-12-12,Male,3,21.69041095890411
400 metres Hurdles,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-27,2000 Sydney Summer Games,Angelo Taylor,USA,1978-12-29,Male,1,21.76164383561644
400 metres Hurdles,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-26,1980 Moskva Summer Games,Gary Oakes,GBR,1958-09-21,Male,3,21.86027397260274
400 metres Hurdles,"Los Angeles Memorial Coliseum, Los Angeles, California","Los Angeles, United States",1932-08-01,1932 Los Angeles Summer Games,Glenn Hardin,USA,1910-07-01,Male,2,22.101369863013698
400 metres Hurdles,"Melbourne Cricket Ground, Melbourne, Victoria","Melbourne, Australia",1956-11-24,1956 Melbourne Summer Games,Glenn Davis,USA,1934-09-12,Male,1,22.216438356164385
400 metres Hurdles,"Olympic Stadium, Roma","Roma, Italy",1960-09-02,1960 Roma Summer Games,Cliff Cushman,USA,1938-06-02,Male,2,22.268493150684932
400 metres Hurdles,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-02,1972 München Summer Games,John Akii-Bua,UGA,1949-12-03,Male,1,22.764383561643836
400 metres Hurdles,"Beijing National Stadium, Beijing","Beijing, China",2008-08-18,2008 Beijing Summer Games,Kerron Clement,USA,1985-10-31,Male,2,22.813698630136987
400 metres Hurdles,"Olympic Stadium, Olympic Park, Montréal, Québec","Montréal, Canada",1976-07-25,1976 Montréal Summer Games,Mike Shine,USA,1953-09-19,Male,2,22.863013698630137
400 metres Hurdles,"Helsinki Olympic Stadium, Helsinki","Helsinki, Finland",1952-07-21,1952 Helsinki Summer Games,Charlie Moore,USA,1929-08-12,Male,1,22.956164383561642
400 metres Hurdles,"Francis Field, Washington University, St. Louis","St. Louis, United States",1904-08-31,1904 St. Louis Summer Games,Harry Hillman,USA,1881-09-08,Male,1,22.991780821917807
400 metres Hurdles,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-27,2000 Sydney Summer Games,Llewellyn Herbert,RSA,1977-07-21,Male,3,23.202739726027396
400 metres Hurdles,"Olympic Stadium, Olympic Park, München","München, West Germany",1972-09-02,1972 München Summer Games,Ralph Mann,USA,1949-06-16,Male,2,23.23013698630137
400 metres Hurdles,"University Olympic Stadium, Ciudad de México","Ciudad de México, Mexico",1968-10-15,1968 Ciudad de México Summer Games,John Sherwood,GBR,1945-06-04,Male,3,23.38082191780822
400 metres Hurdles,"Olympic Stadium, Amsterdam","Amsterdam, Netherlands",1928-07-30,1928 Amsterdam Summer Games,"David, Lord Burghley",GBR,1905-02-09,Male,1,23.484931506849314
400 metres Hurdles,"Grand Arena, Central Lenin Stadium Area, Moskva","Moskva, Soviet Union",1980-07-26,1980 Moskva Summer Games,Vasyl Arkhypenko,URS,1957-01-28,Male,2,23.506849315068493
400 metres Hurdles,"Colombes Olympic Stadium, Colombes","Paris, France",1924-07-07,1924 Paris Summer Games,Ivan Riley,USA,1900-12-31,Male,3,23.53150684931507
400 metres Hurdles,"White City Stadium, London","London, Great Britain",1908-07-22,1908 London Summer Games,Charles Bacon,USA,1885-01-09,Male,1,23.545205479452054
400 metres Hurdles,"Olympic Stadium, Olympic Park, Sydney, New South Wales","Sydney, Australia",2000-09-27,2000 Sydney Summer Games,Hadi Soua'an Al-Somaily,KSA,1976-12-30,Male,2,23.75890410958904
